#DATE                  obsn   az      el     freq_MHz      Tsys        Tant        vlsr      glat       glon        source      Fstart       fstop        spacing      bw        fbw       nfreq   nsam        npoint  integ  sigma     
 2015:208:19:08:13     0      0       60     1421.5000     182.760     -9.155      -9.18     40.751     135.428     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     5      0.861     
 2015:208:19:08:26     1      0       60     1421.5000     182.760     -8.575      -9.18     40.762     135.411     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     7      0.714     
 2015:208:19:08:39     2      0       60     1421.5000     182.760     -8.363      -9.18     40.773     135.395     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     9      0.623     
 2015:208:19:08:52     3      0       60     1421.5000     182.760     -9.050      -9.18     40.783     135.379     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     11     0.560     
 2015:208:19:09:06     4      0       60     1421.5000     182.760     -8.417      -9.18     40.793     135.363     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     14     0.513     
 2015:208:19:09:19     5      0       60     1421.5000     182.760     8.539       -9.17     40.804     135.347     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     16     0.476     
 2015:208:19:09:32     6      0       60     1421.5000     182.760     275.954     -9.17     40.815     135.330     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     18     0.446     
 2015:208:19:09:45     7      0       60     1421.5000     182.760     279.739     -9.17     40.825     135.314     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     20     0.421     
 2015:208:19:09:58     8      0       60     1421.5000     182.760     288.494     -9.17     40.836     135.298     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     22     0.400     
 2015:208:19:10:12     9      0       60     1421.5000     182.760     286.423     -9.17     40.846     135.282     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     24     0.382     
 2015:208:19:10:25     10     0       60     1421.5000     182.760     -1.266      -9.16     40.856     135.265     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     27     0.366     
 2015:208:19:10:38     11     0       60     1421.5000     182.760     -1.537      -9.16     40.868     135.248     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     29     0.352     
 2015:208:19:10:51     12     0       60     1421.5000     182.760     -1.792      -9.16     40.878     135.232     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     31     0.339     
 2015:208:19:11:04     13     0       60     1421.5000     182.760     -1.609      -9.16     40.888     135.216     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     33     0.328     
 2015:208:19:11:18     14     0       60     1421.5000     182.760     -1.673      -9.16     40.898     135.200     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     35     0.317     
 2015:208:19:11:31     15     0       60     1421.5000     182.760     -3.264      -9.15     40.909     135.183     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     38     0.308     
 2015:208:19:11:44     16     0       60     1421.5000     182.760     -4.873      -9.15     40.920     135.166     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     40     0.299     
 2015:208:19:11:57     17     0       60     1421.5000     182.760     -5.826      -9.15     40.930     135.150     at_stow     1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     42     0.291     
 2015:208:19:21:28     0      242     52     1421.5000     171.900     894.609     9.58      29.380     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     5      0.829     
 2015:208:19:21:42     1      242     52     1421.5000     171.900     896.421     9.58      29.380     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     7      0.682     
 2015:208:19:21:55     2      242     52     1421.5000     171.900     905.345     9.58      29.381     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     9      0.593     
 2015:208:19:22:08     3      242     52     1421.5000     171.900     914.700     9.58      29.381     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     11     0.532     
 2015:208:19:22:21     4      242     52     1421.5000     171.900     915.769     9.58      29.381     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     13     0.486     
 2015:208:19:22:37     5      243     51     1421.5000     171.900     817.677     9.58      29.381     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     16     0.451     
 2015:208:19:22:50     6      243     51     1421.5000     171.900     839.335     9.58      29.381     205.198     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     18     0.422     
 2015:208:19:23:03     7      243     51     1421.5000     171.900     854.662     9.58      29.381     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     20     0.398     
 2015:208:19:23:16     8      243     51     1421.5000     171.900     858.096     9.58      29.381     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     22     0.378     
 2015:208:19:23:29     9      243     51     1421.5000     171.900     868.602     9.58      29.381     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     24     0.361     
 2015:208:19:23:43     10     243     51     1421.5000     171.900     872.742     9.58      29.381     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     26     0.345     
 2015:208:19:23:56     11     243     51     1421.5000     171.900     876.466     9.58      29.382     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     29     0.332     
 2015:208:19:24:09     12     243     51     1421.5000     171.900     889.046     9.58      29.382     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     31     0.320     
 2015:208:19:24:22     13     243     51     1421.5000     171.900     888.387     9.58      29.382     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     33     0.309     
 2015:208:19:24:36     14     243     51     1421.5000     171.900     905.988     9.58      29.382     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     35     0.299     
 2015:208:19:24:49     15     243     51     1421.5000     171.900     906.180     9.58      29.382     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     37     0.290     
 2015:208:19:25:02     16     243     51     1421.5000     171.900     913.392     9.58      29.382     205.199     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     40     0.282     
 2015:208:19:25:15     17     243     51     1421.5000     171.900     923.690     9.58      29.382     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     42     0.275     
 2015:208:19:25:29     18     243     51     1421.5000     171.900     921.690     9.58      29.382     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     44     0.268     
 2015:208:19:25:42     19     243     51     1421.5000     171.900     914.070     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     46     0.261     
 2015:208:19:25:55     20     243     51     1421.5000     171.900     941.021     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     48     0.256     
